39,"美国儿科学会育儿百科(第6版,2018全新增订)",总体,https://www.amazon.cn/dp/B07B64T2X7/ref=zg_bs_books_39/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,斯蒂文·谢尔弗,4.5,238,https://www.amazon.cn/product-reviews/B07B64T2X7/ref=zg_bs_books_cr_39/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,66.30
40,这难得的世间(傅雷作品精选集彩插纪念版),总体,https://www.amazon.cn/dp/B075DQK6NJ/ref=zg_bs_books_40/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,傅雷,4.5,27,https://www.amazon.cn/product-reviews/B075DQK6NJ/ref=zg_bs_books_cr_40/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,27.40
41,马尔克斯：霍乱时期的爱情（2015版）,总体,https://www.amazon.cn/dp/B00ZETNT3M/ref=zg_bs_books_41/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,加西亚·马尔克斯,4.6,207,https://www.amazon.cn/product-reviews/B00ZETNT3M/ref=zg_bs_books_cr_41/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,38.50
42,那不勒斯四部曲(之二):新名字的故事,总体,https://www.amazon.cn/dp/B06Y478QPX/ref=zg_bs_books_42/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,埃莱娜·费兰特,4.2,30,https://www.amazon.cn/product-reviews/B06Y478QPX/ref=zg_bs_books_cr_42/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,46.40
43,作家榜经典:父与子全集(郑渊洁推荐版·亲子共读全…,总体,https://www.amazon.cn/dp/B071KVF8HL/ref=zg_bs_books_43/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,埃·奥·卜劳恩,4.6,128,https://www.amazon.cn/product-reviews/B071KVF8HL/ref=zg_bs_books_cr_43/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,25.54
44,北欧众神,总体,https://www.amazon.cn/dp/B07GW4VDTC/ref=zg_bs_books_44/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,尼尔•盖曼（Neil Gaiman）,5.0,7,https://www.amazon.cn/product-reviews/B07GW4VDTC/ref=zg_bs_books_cr_44/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,27.30
45,非暴力沟通,总体,https://www.amazon.cn/dp/B07GRVBTY5/ref=zg_bs_books_45/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,(美) 马歇尔·卢森堡,4.5,679,https://www.amazon.cn/product-reviews/B07GRVBTY5/ref=zg_bs_books_cr_45/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,36.90
46,亲近自然:谁吃谁大冒险(第1辑)(套装共4册),总体,https://www.amazon.cn/dp/B00KLUWUBQ/ref=zg_bs_books_46/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,丽贝卡·霍格·沃雅恩,4.8,38,https://www.amazon.cn/product-reviews/B00KLUWUBQ/ref=zg_bs_books_cr_46/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,51.80
47,人类简史(绘本版):给孩子的世界历史超图解,总体,https://www.amazon.cn/dp/B07BFBT318/ref=zg_bs_books_47/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,贝特朗•菲舒 (Bertrand …,4.8,20,https://www.amazon.cn/product-reviews/B07BFBT318/ref=zg_bs_books_cr_47/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,75.52
48,刺杀骑士团长(套装共2册),总体,https://www.amazon.cn/dp/B079FLYB49/ref=zg_bs_books_48/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,村上春树,3.8,158,https://www.amazon.cn/product-reviews/B079FLYB49/ref=zg_bs_books_cr_48/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,48.02
